	bsize	iteration	throughput
88	2	88	68.52598129314218
89	2	89	68.17069067800054
90	2	90	68.06448943161995
91	2	91	68.2750010173768
92	2	92	51.001088284826636
93	2	93	55.05130661906574
94	2	94	57.370163932183914
95	2	95	60.224915283441504
96	2	96	62.94634790569238
97	2	97	58.1778637760162
98	2	98	69.46397045428198
99	2	99	69.55728026533997
100	4	0	119.88521122734808
101	4	1	123.04341703825393
102	4	2	125.65038233113397
103	4	3	101.77200016985034
104	4	4	107.09316992212435
105	4	5	112.3341390415866
106	4	6	116.11815841200409
107	4	7	118.98819140561281
108	4	8	121.73811078700277
109	4	9	121.35681786946552
110	4	10	125.53380173142682
111	4	11	133.4883476683402
112	4	12	134.1447532542297
113	4	13	134.4080497985147
114	4	14	135.1050982855394
115	4	15	135.1911039484287
116	4	16	133.8867599294544
117	4	17	125.10787311151213
118	4	18	134.217728
119	4	19	135.14101138981522
120	4	20	133.24239367827502
121	4	21	134.83364810454154
122	4	22	131.991817981559
123	4	23	134.4867014028056
124	4	24	134.7167187261617
125	4	25	130.8705819948985
126	4	26	135.13448031445324
127	4	27	134.54925737016006
128	4	28	134.08578758501633
129	4	29	135.27394697800426
130	4	30	82.37369888840881
131	4	31	98.77491713422783
132	4	32	110.08382982073961
133	4	33	118.13110644829675
134	4	34	138.86929386738183
135	4	35	138.7395266526636
136	4	36	138.64551104059237
137	4	37	138.39047768310087
138	4	38	138.49443618953276
139	4	39	138.19099550269345
140	4	40	135.2554074862344
141	4	41	137.81186134384754
142	4	42	138.45329108074205
143	4	43	137.90021535072577
144	4	44	136.3369495437074
145	4	45	138.03977324151094
146	4	46	133.20325203252034
147	4	47	137.97052631578947
148	4	48	138.32315937010472
149	4	49	138.05567578687513
150	4	50	138.35509887681218
151	4	51	138.14661781053152
152	4	52	132.1737924731945
153	4	53	137.85828971478813
154	4	54	138.068173214609
155	4	55	138.3003544637705
156	4	56	138.36308605830686
157	4	57	134.05471746356432
158	4	58	138.7923229649239
159	4	59	137.93309381500086
160	4	60	137.9172194957541
161	4	61	137.14046560292962
162	4	62	137.96144990461153
163	4	63	138.19782537067545
164	4	64	134.55573199878094
165	4	65	110.03473424628784
166	4	66	116.81508404004957
167	4	67	121.13600820222528
168	4	68	124.5515326538036
169	4	69	127.04910906984317
170	4	70	138.64092817241266
171	4	71	138.11022662726276
172	4	72	133.95517585532357
173	4	73	138.25590651756505
174	4	74	138.2479317050661
175	4	75	138.26957976544665
176	4	76	138.0193324942208
177	4	77	127.468040328524
178	4	78	136.77933131690295
179	4	79	137.8288437050729
180	4	80	139.0592135800013
181	4	81	136.69908987949256
182	4	82	138.36650941840134
183	4	83	138.26274280345797
184	4	84	137.84243260785618
185	4	85	138.72117213209637
186	4	86	138.58824695600455
187	4	87	138.34939431172538
188	4	88	129.4937943809818
189	4	89	136.19860044487018
190	4	90	137.97733440794775
191	4	91	138.18644263240262
192	4	92	135.88311141348365
193	4	93	132.58848074856166
194	4	94	129.4728085135938
195	4	95	138.26502171566082
196	4	96	137.09003848636635
197	4	97	138.38020455295282
198	4	98	135.8545030527799
199	4	99	138.82218213712414
200	8	0	277.2795650054126
201	8	1	273.6255861174763
202	8	2	277.9663667843001
203	8	3	277.97788068826685
204	8	4	277.6190956852687
205	8	5	276.50497725624626
206	8	6	247.99473773678338
207	8	7	278.21066595914033
208	8	8	277.6926170830816
209	8	9	277.1421539071469
210	8	10	277.3414444646488
211	8	11	277.53872622001654
212	8	12	277.5731645779046
213	8	13	275.2461466527763
214	8	14	274.1039251725687
215	8	15	277.9410395527024
216	8	16	276.57335025799114
217	8	17	276.8928718786618
218	8	18	276.1227123107307
219	8	19	277.7799743366861
220	8	20	277.48134794293986
221	8	21	278.1345645344452
222	8	22	276.30006093443785
223	8	23	265.3657055185613
224	8	24	268.1801484986293
225	8	25	276.66000461726196
226	8	26	277.36207708903345
227	8	27	250.92115909515798
